Tested.Agent.s.,Combined.Agent.s.,Control.Arm,Treatment.Setting,Tumour.Type,Tumour.Sub.type,Tumour.Sub.group,Tumour.Stage,Score,Ref.,Score.card,V1,V2,V3,Control Arm,DFS Control,DFS Gain,DFS HR,Final curative score,Form(s),Primary Outcome(s),Treatment Setting,Trial Name,Tumour stage,Tumour Sub-Group,Tumour Sub-type,Tumour Type,Combined Agent(s),pCR Gain,PFS HR,Final non-curative Score,OS Control,OS Gain,OS HR,PFS Control,PFS Gain,Preliminary non-curative score,QoL adjustment,QoL Comment,Last update,Toxicity adjustment,Toxicity Comment,Long-term plateau in the survival curve,Evaluated Outcome,V4,Comment,Long-term plateau in the PFS curve,QoL or Toxicity non-inferiority or superiority in PFS/OS,Release date,ORR,Issue date,DoR,RR Gain,Improvement in some symptoms BUT without evidence of improved overall QoL,RFS Control,RFS Gain,RFS HR,OS advantage continues to be observed
Bevacizumab,Paclitaxel,Paclitaxel,1st line metastatic (no crossover),Breast Cancer,Breast Cancer,-,Metastatic,2,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa072113?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Paclitaxel ,NA,NA,NA,NA,Form 2b,PFS,1st line metastatic (no crossover),NA,            Metastatic    ,NA,Breast Cancer,Breast Cancer,Paclitaxel,NA,0.60 (0.51-0.70),2,NA,NA,NS,5.9 months,5.9 months,3,-1,No improvement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Everolimus,Exemestane,Exemestane + placebo,Metastatic after failure of aromatose inhibitor (with PFS> 6 months) (no crossover),Breast Cancer,Breast Cancer,HR+,Metastatic,2,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1109653?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Exemestane + placebo,NA,NA,NA,NA,Form 2b,PFS,Metastatic after failure of aromatose inhibitor (with PFS> 6 months) (no crossover),BOLERO-2,            Metastatic    ,HR+,Breast Cancer,Breast Cancer,Exemestane,NA,0.36 (0.27-0.47),2,NA,NA,NS,4.1 months,6.5 months,2,NA,No improvement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eribulin,-,Treatment of physician's choice,3rd line metastatic after anthracycline and taxane,Breast Cancer,Breast Cancer,-,Metastatic,2,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(11)60070-6/fulltext,NA,NA,Treatment of physician's choice,NA,NA,NA,NA,Form 2a,OS,3rd line metastatic after anthracycline and taxane,EMBRACE,            Metastatic    ,NA,Breast Cancer,Breast Cancer,NA,NA,NA,2,10.6 months,2.5 months,0.81 (0.66-0.99),NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eribulin,-,Treatment of physician's choice,3rd line metastatic after anthracycline and taxane in HER2 negative patients,Breast Cancer,Breast Cancer,HER2-,Metastatic,1,NA,NA,https://academic.oup.com/annonc/article/27/8/1525/1741475,NA,NA,Treatment of physician's choice,NA,NA,NA,NA,Form 2a,OS,3rd line metastatic after anthracycline and taxane in HER2 negative patients,Pooled analysis,            Metastatic    ,HER2-,Breast Cancer,Breast Cancer,NA,NA,NA,1,12 months,3.1 months,0.84 (0.74-0.96),NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panitumumab,FOLFOX4,FOLFOX4,"1st line metastatic colorectal cancer (post hoc KRAS, NRAS BRAF WT)",Gastrointestinal Cancers,Colon and Rectal Cancer,-,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1305275?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,FOLFOX4,NA,NA,NA,NA,Form 2a,PFS,"1st line metastatic colorectal cancer (post hoc KRAS, NRAS BRAF WT)",PRIME,            Metastatic    ,NA,Colon and Rectal Cancer,Gastrointestinal Cancers,FOLFOX4,NA,0.68 (0.54-0.87),4,20.9 months,7.4 months,0.74 (0.57-0.96),9.2 months,1.6 months,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panitumumab,mFOLFOX6,Bevacizumab + mFOLFOX6    (Randomised phase II study with unbalanced crossover),1st line metastatic CRC,Gastrointestinal Cancers,Colon and Rectal Cancer,RAS/BRAF-WT,Metastatic,3,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2013.53.2473?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,https://link.springer.com/article/10.1007%2Fs00384-017-2800-1,NA,Bevacizumab + mFOLFOX6    (Randomised phase II study with unbalanced crossover) ,NA,NA,NA,NA,Form 2b,PFS,1st line metastatic CRC,PEAK,            Metastatic    ,RAS/BRAF-WT,Colon and Rectal Cancer,Gastrointestinal Cancers,mFOLFOX6,NA,0.61 (0.42-0.88),3,28.9 months,12.4 months,0.70 (0.48-1.04) NEB,10.1 months,3 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cetuximab,FOLFIRI,FOLFIRI,"1st line metastatic (post hoc KRAS, NRAS WT)",Gastrointestinal Cancers,Colon and Rectal Cancer,RAS-WT,Metastatic,4,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2014.59.4812?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,NA,FOLFIRI ,NA,NA,NA,NA,Form 2a,PFS,"1st line metastatic (post hoc KRAS, NRAS WT)",CRYSTAL,            Metastatic    ,RAS-WT,Colon and Rectal Cancer,Gastrointestinal Cancers,FOLFIRI,NA,0.56 (0.41-0.76),4,20.2 months,8.2 months,0.69 (0.54-0.88),8.4 months,3 months,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cetuximab,-,Best supportive care,Refractory metastatic KRAS-WT,Gastrointestinal Cancers,Colon and Rectal Cancer,KRAS-WT,Metastatic,4,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa0804385?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Best supportive care,NA,NA,NA,NA,Form 2a,OS,Refractory metastatic KRAS-WT,NA,            Metastatic    ,KRAS-WT,Colon and Rectal Cancer,Gastrointestinal Cancers,NA,NA,0.40 (0.30-0.54),4,4.8 months,4.7 months,0.55 (0.41-0.74),1.9 months,1.8 months,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bevacizumab,IFL,IFL + placebo,1st line metastatic,Gastrointestinal Cancers,Colon and Rectal Cancer,-,Metastatic,3,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa032691?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,IFL + placebo,NA,NA,NA,NA,Form 2a,OS,1st line metastatic,NA,            Metastatic    ,NA,Colon and Rectal Cancer,Gastrointestinal Cancers,IFL,NA,NA,3,15.6 months,4.7 months,0.66 (0.54-0.81),NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panitumumab,FOLFIRI,FOLFIRI,2nd line metastatic,Gastrointestinal Cancers,Colon and Rectal Cancer,RAS-WT,Metastatic,3,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2009.27.6055?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,http://clincancerres.aacrjournals.org/content/21/24/5469.long,NA,FOLFIRI ,NA,NA,NA,NA,Form 2b,PFS and OS,2nd line metastatic ,NA,            Metastatic    ,RAS-WT,Colon and Rectal Cancer,Gastrointestinal Cancers,FOLFIRI,NA,0.70 (0.54-0.91),3,13.9 months,2.3 months,0.81 (0.63-1.03) NEB,4.6 months,1.8 months,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramucirumab,FOLFIRI,FOLFIRI + placebo,"2nd line metastatic after bevacizumab, oxaliplatin, fluoropyrimidine",Gastrointestinal Cancers,Colon and Rectal Cancer,-,Metastatic,1,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(15)70127-0/fulltext,NA,NA,FOLFIRI + placebo,NA,NA,NA,NA,Form 2a,OS,"2nd line metastatic after bevacizumab, oxaliplatin, fluoropyrimidine",RAISE,            Metastatic    ,NA,Colon and Rectal Cancer,Gastrointestinal Cancers,FOLFIRI,NA,NA,1,11.7 months,"1.6 months, 2-year survival advantage 5-10%",0.84 (0.73-0.97),NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bevacizumab,FOLFOX4,FOLFOX4,2nd line metastatic after FOLFIRI,Gastrointestinal Cancers,Colon and Rectal Cancer,-,Metastatic,3,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2006.09.6305?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,NA,FOLFOX4  ,NA,NA,NA,NA,Form 2a,OS,2nd line metastatic after FOLFIRI,E3200,            Metastatic    ,NA,Colon and Rectal Cancer,Gastrointestinal Cancers,FOLFOX4,NA,NA,3,10.8 months,2.1 months,0.75 (0.63-0.89),NA,NA,3,NA,NA,04.08.2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panitumumab,-,Best supportive care,3rd line metastatic,Gastrointestinal Cancers,Colon and Rectal Cancer,RAS-WT,Metastatic,3,NA,NA,http://clincancerres.aacrjournals.org/content/19/7/1902,http://ascopubs.org/doi/abs/10.1200/jco.2013.31.15_suppl.3617,NA,Best supportive care,NA,NA,NA,NA,Form 2b,PFS,3rd line metastatic,NA,            Metastatic    ,RAS-WT,Colon and Rectal Cancer,Gastrointestinal Cancers,NA,NA,0.36 (0.25-0.52),3,NA,NA,NA,7 weeks,7.1 weeks,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxaliplatine,"5FU, Irinotecan, Bevacizumab",FOLFIRI bevacizumab,1st line metastatic,Gastrointestinal Cancers,Colon and Rectal Cancer,-,Metastatic,2,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1403108?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(15)00122-9/fulltext,NA,FOLFIRI bevacizumab ,NA,NA,NA,NA,Form 2a,PFS,1st line metastatic,TRIBE,            Metastatic    ,NA,Colon and Rectal Cancer,Gastrointestinal Cancers,"5FU, Irinotecan, Bevacizumab",NA,0.75 (0.62-0.90),2,25.8 months,4 months,0.80 (0.65-0.98),9.7 months,2.4 months,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trifluiridine/tipiracil (TAS-102),-,Placebo,3rd line metastatic CRC,Gastrointestinal Cancers,Colon and Rectal Cancer,-,Metastatic,2,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1414325?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Placebo,NA,NA,NA,NA,Form 2a,OS,3rd line metastatic CRC ,RECOURSE,            Metastatic    ,NA,Colon and Rectal Cancer,Gastrointestinal Cancers,NA,NA,NA,2,5.3 months,1.8 months,0.68 (0.58-0.81),NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Regorafenib,-,Placebo,3rd line metastatic,Gastrointestinal Cancers,Colon and Rectal Cancer,-,Metastatic,1,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(12)61900-X/fulltext,NA,NA,Placebo,NA,NA,NA,NA,Form 2a,OS,3rd line metastatic,CORRECT,            Metastatic    ,NA,Colon and Rectal Cancer,Gastrointestinal Cancers,NA,NA,NA,1,5 months,1.4 months,0.77 (0.64-0.94),NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aflibercept,FOLFIRI,FOLFIRI + placebo,2nd line after oxaliplatin based treatment,Gastrointestinal Cancers,Colon and Rectal Cancer,-,Metastatic,1,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2012.42.8201?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,NA,FOLFIRI + placebo,NA,NA,NA,NA,Form 2a,OS,2nd line after oxaliplatin based treatment,VELOUR,            Metastatic    ,NA,Colon and Rectal Cancer,Gastrointestinal Cancers,FOLFIRI,NA,0.76 (0.66-0.87),1,12.1 months,1.4 months,0.82 (0.71-0.94),4.7 months,2.2 months,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bevacizumab,Chemotherapy,Chemotherapy,2nd line beyond progression on bevacizumab,Gastrointestinal Cancers,Colon and Rectal Cancer,-,Metastatic,1,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(12)70477-1/fulltext,NA,NA,Chemotherapy,NA,NA,NA,NA,Form 2a,OS,2nd line beyond progression on bevacizumab,MI18147,            Metastatic    ,NA,Colon and Rectal Cancer,Gastrointestinal Cancers,Chemotherapy,NA,NA,1,9.8 months,1.4 months,0.81 (0.69-0.94),NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Epirubicin, 5FU, Cisplatin",-,Surgery,Peri-operative,Gastrointestinal Cancers,Oesophageal or Gastric Cancer,-,Early,A,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa055531?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Surgery ,NA,NA,NA,A,Form 1,OS,Peri-operative,MAGIC,            Early    ,NA,Oesophageal or Gastric Cancer,Gastrointestinal Cancers,NA,NA,NA,NA,5-year survival 23%,13 %,0.66 (0.53-0.81),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5FU, Cisplatin",-,Surgery,Peri-operative,Gastrointestinal Cancers,Oesophageal or Gastric Cancer,-,Early,A,NA,NA,http://ascopubs.org/doi/abs/10.1200/JCO.2010.33.0597?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed,NA,NA,Surgery ,NA,NA,NA,A,Form 1,OS,Peri-operative,NA,            Early    ,NA,Oesophageal or Gastric Cancer,Gastrointestinal Cancers,NA,NA,NA,NA,5-year survival 24%,14 %,0.69 (0.50-0.95),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramucirumab,Paclitaxel,Paclitaxel + placebo,2nd line advanced or metastatic gastric or EGJ adenocarcinoma,Gastrointestinal Cancers,Gastric or gastro-oesophageal junction cancer,-,Metastatic,2,NA,NA,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(14)70420-6/fulltext,NA,NA,Paclitaxel + placebo,NA,NA,NA,NA,Form 2a,OS,2nd line advanced or metastatic gastric or EGJ adenocarcinoma,RAINBOW,            Metastatic    ,NA,Gastric or gastro-oesophageal junction cancer,Gastrointestinal Cancers,Paclitaxel,NA,NA,2,7.4 months,2.2 months,0.81 (0.68-0.96),NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ramucirumab,-,Placebo,2nd line gastro-oesophageal or gastric cancer after cisplatin/5-FU,Gastrointestinal Cancers,Oesophageal Cancer,-,Metastatic,1,NA,NA,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(13)61719-5/fulltext,NA,NA,Placebo,NA,NA,NA,NA,Form 2a,OS,2nd line gastro-oesophageal or gastric cancer after cisplatin/5-FU,REGARD,            Metastatic    ,NA,Oesophageal Cancer,Gastrointestinal Cancers,NA,NA,NA,1,3.8 months,1.4 months,0.78 (0.60 - 0.99),NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FOLFIRINOX,-,Gemcitabine,1st line advanced or metastatic. Good performance status,Gastrointestinal Cancers,Pancreatic cancer,-,Metastatic,5,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1011923?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Gemcitabine,NA,NA,NA,NA,Form 2a,OS (crossover allowed),1st line advanced or metastatic. Good performance status,NA,            Metastatic    ,NA,Pancreatic cancer,Gastrointestinal Cancers,NA,NA,NA,5,6.8 months,4.3 months,0.57 (0.45-0.73),NA,NA,4,1+,Delayed deterioration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nab-paclitaxel,Gemcitabine,Gemcitabine,1st line advanced or metastatic. Good performance status (KPS>70%),Gastrointestinal Cancers,Pancreatic cancer,-,Metastatic,2,NA,NA,https://www.nejm.org/doi/10.1056/NEJMoa1304369?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dwww.ncbi.nlm.nih.gov,NA,NA,Gemcitabine,NA,NA,NA,NA,Form 2a,OS,1st line advanced or metastatic. Good performance status (KPS>70%),NA,            Metastatic    ,NA,Pancreatic cancer,Gastrointestinal Cancers,Gemcitabine,NA,NA,2,6.7 months 2-years survival 4%,1.8 months 2-year survival gain 5%,0.72 (0.62-0.83),NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
